randomSeed,temperature_annualMaxAt2m,temperature_annualMinAt2m,temperature_meanDailyFluctuation,temperature_dailyLowerDeviation,temperature_dailyUpperDeviation,solar_annualMax,solar_annualMin,solar_meanDailyFluctuation,CO2_annualMin,CO2_annualMax,CO2_meanDailyFluctuation,precipitation_yearlyMean,precipitation_yearlySd,precipitation_dailyCum_nSamples,precipitation_dailyCum_maxSampleSize,precipitation_dailyCum_plateauValue_yearlyMean,precipitation_dailyCum_plateauValue_yearlySd,precipitation_dailyCum_inflection1_yearlyMean,precipitation_dailyCum_inflection1_yearlySd,precipitation_dailyCum_rate1_yearlyMean,precipitation_dailyCum_rate1_yearlySd,precipitation_dailyCum_inflection2_yearlyMean,precipitation_dailyCum_inflection2_yearlySd,precipitation_dailyCum_rate2_yearlyMean,precipitation_dailyCum_rate2_yearlySd,currentYear,currentDayOfYear,precipitation_yearTotal,meanARID,elevation,DC,z,CN,FC,WHC,albedo,crop,T_sum,HI,I_50A,I_50B,T_base,T_opt,RUE,I_50maxH,I_50maxW,T_heat,T_extreme,S_CO2,S_water,sowingDay,harvestDay,meanARID_grow,yield
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'wheat 1', 2200, 0.36, 480, 200, 0, 15, 1.24, 100, 25, 34, 45, 0.08, 0.4, 330, 105, ,0
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'wheat 2', 2150, 0.34, 280, 50, 0, 15, 1.24, 100, 25, 34, 45, 0.08, 0.4, 330, 105, ,0
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'rice', 2300, 0.47, 850, 200, 9, 26, 1.24, 100, 10, 34, 50, 0.08, 1, 190, 330, 0.6180711870506446, 245.65878730090338
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'maize', 2050, 0.5, 500, 50, 8, 28, 2.1, 100, 12, 34, 50, 0.01, 1.2, 105, 275, 0.7119881139691266, 514.5335514625866
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 1', 2500, 0.35, 680, 300, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.6502884258641288, 249.69311205156492
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 2', 2350, 0.4, 600, 200, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.6502884258641288, 289.06765192257825
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'dry bean', 2700, 0.4, 450, 600, 5, 27, 0.8, 90, 20, 32, 45, 0.07, 0.9, 166, 266, 0.5782689286063109, 217.57462970902472
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'peanut', 3100, 0.35, 520, 550, 10, 28, 1.2, 100, 5, 36, 50, 0.07, 2, 150, 270, 0.6275594450103319, 0
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 1', 2400, 0.85, 500, 350, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.6984494625221009, 1500.2798349557936
1000, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 722.871663636228, 142.2, 200, 10, 0.2690041686032679, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 0, 365, 1002.1289683093415, 0.6328975318084207, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 2', 2700, 0.8, 690, 400, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.6984494625221009, 1347.3158362766617
