randomSeed,temperature_annualMaxAt2m,temperature_annualMinAt2m,temperature_meanDailyFluctuation,temperature_dailyLowerDeviation,temperature_dailyUpperDeviation,solar_annualMax,solar_annualMin,solar_meanDailyFluctuation,CO2_annualMin,CO2_annualMax,CO2_meanDailyFluctuation,precipitation_yearlyMean,precipitation_yearlySd,precipitation_dailyCum_nSamples,precipitation_dailyCum_maxSampleSize,precipitation_dailyCum_plateauValue_yearlyMean,precipitation_dailyCum_plateauValue_yearlySd,precipitation_dailyCum_inflection1_yearlyMean,precipitation_dailyCum_inflection1_yearlySd,precipitation_dailyCum_rate1_yearlyMean,precipitation_dailyCum_rate1_yearlySd,precipitation_dailyCum_inflection2_yearlyMean,precipitation_dailyCum_inflection2_yearlySd,precipitation_dailyCum_rate2_yearlyMean,precipitation_dailyCum_rate2_yearlySd,currentYear,currentDayOfYear,precipitation_yearTotal,meanARID,elevation,DC,z,CN,FC,WHC,albedo,crop,T_sum,HI,I_50A,I_50B,T_base,T_opt,RUE,I_50maxH,I_50maxW,T_heat,T_extreme,S_CO2,S_water,sowingDay,harvestDay,meanARID_grow,yield
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'maize', 2050, 0.5, 500, 50, 8, 28, 2.1, 100, 12, 34, 50, 0.01, 1.2, 105, 275, 0.7941027650788969, 259.5967302596135
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 1', 2500, 0.35, 680, 300, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.7613429071671051, 205.79779318128416
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 2', 2350, 0.4, 600, 200, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.7613429071671051, 238.70702842969305
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'dry bean', 2700, 0.4, 450, 600, 5, 27, 0.8, 90, 20, 32, 45, 0.07, 0.9, 166, 266, 0.7697727144737019, 127.44728419318153
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'peanut', 3100, 0.35, 520, 550, 10, 28, 1.2, 100, 5, 36, 50, 0.07, 2, 150, 270, 0.7711279258414678, 0
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 1', 2400, 0.85, 500, 350, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 1326.9916213143972
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 2', 2700, 0.8, 690, 400, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 1180.2429522649343
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 3', 2500, 0.45, 690, 500, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 663.8866606490255
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 4', 2400, 0.45, 690, 450, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 663.8866606490255
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 5', 2300, 0.9, 500, 400, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 1405.04995197995
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 6', 2500, 0.9, 480, 400, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.7929594328820915, 1413.4768849799727
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'cassava', 5400, 0.65, 650, 300, 12, 28, 1.1, 100, 15, 38, 50, 0.07, 1, 76, 167, 0.7332086965448539, 0
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'tomato 1', 2800, 0.68, 520, 400, 6, 26, 1, 100, 5, 32, 45, 0.07, 2.5, 120, 270, 0.7929594328820915, 5.518665485925706
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'tomato 2', 2300, 0.5, 550, 300, 6, 26, 1, 100, 5, 32, 45, 0.07, 2.5, 120, 270, 0.7929594328820915, 4.057842268787373
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'sweetcorn', 1900, 0.4, 500, 250, 8, 27, 1.7, 100, 5, 34, 50, 0.01, 2, 105, 275, 0.7941027650788969, 20.553321218694474
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'greenbean', 1600, 0.45, 370, 300, 5, 27, 0.86, 100, 10, 32, 45, 0.07, 0.4, 160, 260, 0.8014028894180989, 335.81722623938487
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'carrot', 2450, 0.7, 550, 250, 4, 22, 1, 100, 5, 32, 45, 0.07, 2, 150, 225, 0.7948593192696229, 0
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 1, 365, 721.8283666043069, 0.6476643795875399, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'cotton', 4600, 0.4, 680, 200, 11, 28, 0.85, 40, 10, 35, 50, 0.09, 1.2, 130, 355, 0.7910432133108581, 0
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'wheat 1', 2200, 0.36, 480, 200, 0, 15, 1.24, 100, 25, 34, 45, 0.08, 0.4, 330, 105, 0.5623551089195411, 422.8884244416664
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'wheat 2', 2150, 0.34, 280, 50, 0, 15, 1.24, 100, 25, 34, 45, 0.08, 0.4, 330, 105, 0.5623551089195411, 429.86039332004106
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'rice', 2300, 0.47, 850, 200, 9, 26, 1.24, 100, 10, 34, 50, 0.08, 1, 190, 330, 0.8732922855628926, 130.95253684212378
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'maize', 2050, 0.5, 500, 50, 8, 28, 2.1, 100, 12, 34, 50, 0.01, 1.2, 105, 275, 0.887933398836389, 87.379664457303
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 1', 2500, 0.35, 680, 300, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.8785642670631787, 140.00158029923034
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'soybean 2', 2350, 0.4, 600, 200, 6, 27, 0.86, 120, 20, 36, 50, 0.07, 0.9, 150, 300, 0.8785642670631787, 162.88349575892607
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'dry bean', 2700, 0.4, 450, 600, 5, 27, 0.8, 90, 20, 32, 45, 0.07, 0.9, 166, 266, 0.8606765291523614, 101.66770989529502
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'peanut', 3100, 0.35, 520, 550, 10, 28, 1.2, 100, 5, 36, 50, 0.07, 2, 150, 270, 0.8708879433963178, 0
0, 37, 12.8, 2.2, 6.8, 7.9, 24.2, 9.2, 3.3, 245, 255, 1, 639.0508007150247, 142.2, 200, 10, 0.6291136191272653, 0.1, 40, 5, 0.07, 0.02, 240, 20, 0.08, 0.02, 2, 365, 394.84731640216785, 0.774257352954177, 200, 0.55, 400, 65, 0.21, 0.15, 0.23, 'potato 1', 2400, 0.85, 500, 350, 4, 22, 1.3, 50, 30, 34, 45, 0.1, 0.4, 120, 270, 0.8883408169975879, 1416.8138581491348
