"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"householdDemography v.1.1 - kinship tabu for new couples.nlogo"
"exp-endstates"
"09/28/2025 23:09:47:634 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","type-of-experiment","exp-number","SEED","[step]","exp-number","SEED","maturity-age","initial-num-households","household-initial-age-distribution","max-couple-count-distribution","cdmlt-level","coale-demeny-region","c1-fert","mu-fert","sigma1-fert","sigma2-fert","residence-rule","acceptable-kinship-degree-for-couples","c1-women","c1-men","mu-women","mu-men","sigma1-women","sigma1-men","sigma2-women","sigma2-men","totalHouseholds","totalIndividuals","totalPopulationGrowth","totalWomen","totalMen","femaleRatio","womenAgeStructure","menAgeStructure","womenFirstAgeGroup","menFirstAgeGroup","womenBirths","menBirths","womenDeaths","menDeaths","womenIn","menIn","womenOut","menOut","totalOrphans"
"17","defined by exp-number","6","1","0","6","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"23","defined by exp-number","8","1","0","8","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"21","defined by exp-number","7","2","0","7","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"20","defined by exp-number","7","1","0","7","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"19","defined by exp-number","7","0","0","7","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"22","defined by exp-number","8","0","0","8","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"24","defined by exp-number","8","2","0","8","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"27","defined by exp-number","9","2","0","9","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"25","defined by exp-number","9","0","0","9","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"28","defined by exp-number","10","0","0","10","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
